tweet,sentiment_label
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'Proud to host a meet &amp; greet with My former boss, Presidential candidate Juli\xc3\xa1n Castro &amp; LA leaders. #2020Election https://t.co/PIzlvGYJ5Z',Positive
b"@factsimile1 @krassenstein @Nancabell Ranking #Democrats #2020Election\nMy opinion \nKamala Harris\nJoe Biden\nBeto O'R\xe2\x80\xa6 https://t.co/VEtmiZtn6B",Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'My latest straw poll ...\n\nElizabeth Warren\nKamala Harris\n:\nBernie Sanders\nEric Swalwell\nAmy Klobuchar\nSherrod Brown\xe2\x80\xa6 https://t.co/QeChhcyXXd',Positive
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'.@JulianCastro just issued the most detailed immigration platform of all the Democrats running for president\xe2\x80\xa6 https://t.co/t0oEyxQBiG',Positive
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b"RT @OhioLatinx: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b"RT @OhioLatinx: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b"RT @ConMijente: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b"Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from\xe2\x80\xa6 https://t.co/MRA2fXxT3j",Neutral
b"Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from\xe2\x80\xa6 https://t.co/AfZtTll9d2",Neutral
b"Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from\xe2\x80\xa6 https://t.co/SwKt74ul77",Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
