tweet,sentiment_label
b'South Carolina Democratic Primary (w/o Biden):\n\nBernie Sanders: 24%\nBeto O\xe2\x80\x99Rourke: 16%\nKamala Harris: 15%\nCory Book\xe2\x80\xa6 https://t.co/LFUmGQrnaE',Positive
b"RT @angelialevy: What I read over the weekend:   \n\nOBAMA: Liberal democrats are obstinate https://t.co/vy5MbtdwJn \n  \nBUTTIGIEG: Let's exte\xe2\x80\xa6",Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b"RT @angelialevy: What I read over the weekend:   \n\nOBAMA: Liberal democrats are obstinate https://t.co/vy5MbtdwJn \n  \nBUTTIGIEG: Let's exte\xe2\x80\xa6",Neutral
b'What I read over the weekend:   \n\nOBAMA: Liberal democrats are obstinate https://t.co/vy5MbtdwJn \n  \nBUTTIGIEG: Let\xe2\x80\xa6 https://t.co/fJijTPX0Ua',Neutral
b'RT @a35362: "Forgive me if I like the idea of having someone in the White House who understands what I\xe2\x80\x99ve been through, and who would prote\xe2\x80\xa6',Neutral
b'"Forgive me if I like the idea of having someone in the White House who understands what I\xe2\x80\x99ve been through, and who\xe2\x80\xa6 https://t.co/gBNAqPFj32',Neutral
b'Analysis @wp: "Pete Buttigieg argues against free college. This is why progressives can\xe2\x80\x99t agree about subsidizing t\xe2\x80\xa6 https://t.co/A2BPWABCVa',Positive
b'Andrew Sullivan: Is Pete Buttigieg a Transformational Candidate?\nhttps://t.co/i96C20mn5k  #petebuttigieg\xe2\x80\xa6 https://t.co/sBux1FWHwU',Neutral
b"Is 'Mayor Pete' too good to be true?\nhttps://t.co/SsjARYiMUL #mayorpete #petebuttigieg #2020election https://t.co/d06o3eW9W0",Positive
b'RT @a35362: 4:39 Pete Buttigieg is raising serious cash. Is he a serious 2020 contender?\nhttps://t.co/l6E4lmeJkr #2020election #petebuttigi\xe2\x80\xa6',Negative
