tweet,sentiment_label
b'RT @Styx666Official: https://t.co/sUeDiHgbUj\n\nIf we can get Mike Gravel onto the dem debate stage it will be legendary. (Dailymotion.) #Mik\xe2\x80\xa6',Positive
b'RT @Styx666Official: https://t.co/sUeDiHgbUj\n\nIf we can get Mike Gravel onto the dem debate stage it will be legendary. (Dailymotion.) #Mik\xe2\x80\xa6',Positive
b'RT @Styx666Official: https://t.co/sUeDiHgbUj\n\nIf we can get Mike Gravel onto the dem debate stage it will be legendary. (Dailymotion.) #Mik\xe2\x80\xa6',Positive
b'https://t.co/sUeDiHgbUj\n\nIf we can get Mike Gravel onto the dem debate stage it will be legendary. (Dailymotion.)\xe2\x80\xa6 https://t.co/d2Wvwr8nhX',Positive
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'For anyone keeping count, the announcements of the candidacies of Mike Gravel and Eric Swalwell bring the total up\xe2\x80\xa6 https://t.co/CKVanBZMls',Neutral
